File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 65, 67, U, 
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 85, , U, 
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 119, , U, 
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 130, 131, U, 
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 133, , U, 
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 138, , U, 
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 142, , U, 
mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 147, , U, 
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1950-53, 1950, 1953, 1-1, 2-1, B, Wonder Stories Annual (4 issues)
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1950; 52, ?, ?, 1, 5, B, Wonders of the Spaceways
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , , , , 13, 14, U, Worlds of Fantasy
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1968; 70; 71, ?; 1970; Win 70-71; Spr 1971, 1-1, 1-4, B, U, 
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , , Fall; 9-Nov, , 23-1 (176), , U, Worlds of If (1 issue)
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , , , , 6; 7; 9; 10, , U, Wonders of the Spaceways
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , , , , 1, 5, B, Worlds of Fantasy  1st issue questionable?
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , , , , 6, 10, B, Worlds of Fantasy
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1963, 4, 12, 1-1, 1-5, B, Worlds of Tomorrow ("bimonthly
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1964, 2; 4; 6; 8; 11, , 1-6, 2-4, B, Worlds of Tomorrow
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1965, 1, 11, 2-5 (11), 3-4 (16), B, Worlds of Tomorrow
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1966-67, 1/66; 3/66; 5/66; 8/66; 11/66; 2/67; 5/67, , 3-5 (12), 4-4 (23), B, Worlds of Tomorrow  rolls after 3-7  "quarterly" in avg
mag-008.jpg, kevinr, mgentile555, 10/4/2007, JSB+JFC, , , unDA, misc, , , , 1970-71, 1970; Win/70; Spr/71, , 5-1 (24), 5-3 (26), B, Worlds of Tomorrow
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1945, Win, Fall, 26-3, 27-3, B, quarterly
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1996, Win; Spr; Sum; Fall; 12, , 28-1, 29-2, B, back to bimonthly in Dec
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1947, 2, 12, 29-3, 31-2, B, 
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1948, 2, 12, 31-3, 33-2, B, 
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1949, 2, 12, 33-3, 35-2, B, 
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1950, 2, 12, 35-3, 37-2, B, 
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1951, 2, 12, 37-3, 39-2, B, 
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1952, 2, 12, 39-3, 41-2, B, 
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1953, 2; 4; 6; 8; 11, , 41-3, 43-1, B, 
mag-009.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Thrilling Wonder Stories, , filed under "Wonder Stories", , 1954-55, Win/54; Spr/54; Sum/54; Fall/54; Win/55, , 43-2, 44-3, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1930, 11/30, 4/31, 2-6, 2-11, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1931-2, 11/31, 2/32, 3-6, 3-9, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1932, 3, 6, 3-10, 4-1, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1932p2, 7, 12, 4-2, 4-7, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1933p1, 1, 5, 4-8, 4-12, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1933p2, 6, 10, 5-1, 5-3, B, (bimonthly)
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1934p1, 1, 6, 5-6, 6-1, B, (rolls at 5-10) back to monthly
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1934p2, 7, 12, 6-2, 6-7, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1935p1, 1, 6, 6-8, 7-1, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1935p2, 7, 12, 7-2, 7-6, B, No November issue
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1936, 1&2; 3&4; 8; 10; 12, , 7-7, 8-3, B, changes to "Thrilling Wonder Stories" and bimonthly and continuous #ing stops in August (8-1)
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1937, 2, 12, 9-1, 10-5, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1938, 2, 12, 11-1, 12-3, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1939, 2, 12, 13-1, 14-3, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1940p1, 1, 6, 15-1, 16-3, B, monthly again
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1940p2, 7, 12, 17-1, 18-3, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1941p1, 1, 4, 19-1, 20-1, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1941p2, 6, 12, 20-2, 21-2, B, back to bimonthly
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1942, 2, 12, 21-3, 23-2, B, 
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1943, 2, Fall, 23-3, 25-1, B, becomes quarterly after August (24-3)
mag-010.jpg, kevinr, mgentile555, 9/27/2007, JSB+JFC, , , unDA, Wonder Stories, monthly bimonthly, Continuous page #ing in each volume, , 1944, Win, Fall, 25-2, 26-2, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1939p2, 6/7, 12, 3-1, 34-6, B, 34-1 is June/July monthly
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1940, 1, 11, 35-1, 35-6, B, becomes bimonthly
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1941, 1, 11, 35-7, 36-2, B, (rolls at 35-10)
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1942, 1, 11, 36-3, 36-8, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1943, 1, 11, 36-9, 37-2, B, (rolls at 36-12)
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1944, 1, 11, 37-3, 38-2, B, (rolls at 37-6)
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1945, 1, 11, 38-3, 39-2, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1946, 1, 11, 39-3, 39-8, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1947, 1, 11, 39-9, 40-1, B, (May and July are both 39-11)
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1948, 1, 11, 40-2, 41-1, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1949, 1, 11, 41-2, 42-1, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1950, 1, 11, 42-2, 34-1, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1951, 1, 11, 43-2, 44-1, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1952, 1, 11, 44-2, 44-7, B, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1953p1, 1, 7, 44-8, 45-3, B, (March is 45-1)
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1943-43, 9/43, 9/44, 45-4, 46-4, B, (march is 46-1)
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , 1973-4, Sum/73; Fall/73, , 47-1, 47-4, B, "quarterly"
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , , Win/73, Sum/74, , , , 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , , Fall/84, , 49-1, , U, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , , Spr/88, , 50-1(290), , U, 
mag-011.jpg, kcr, mgentile555, 9/21, JSB+JFC, , , unDA, Weird Tales, (monthly) (bimonthly), Page #s [smudge]normal: continuity of #s stops, , , Spr/93, , 54-1(306), , U, 
mag-012.jpg, nhinchen, mgentile555, 9/27/2007, JSB & JFC, , , unDA, Weird Tales, monthly, Page #s continuous through volume, , 1927p1, 1, 6, 9-1, 9-6, B, page #s continuous through vol
mag-012.jpg, nhinchen, mgentile555, 9/27/2007, JSB & JFC, , , unDA, Weird Tales, monthly, Page #s continuous through volume, , 1927p2, 7, 12, 10-1, 10-6, B, page #s continuous through vol
