http://static.free-dissociation.com/magventory/mag-020.jpg, mkr, mgentile555, 8/27, JSB; JFC, , , unDA, Startling Stories, bimonthly, , , 1953, 1-6; 8, 10, 28-3, 31-1, B, begins to fail
http://static.free-dissociation.com/magventory/mag-020.jpg, mkr, mgentile555, 8/27, JSB; JFC, , , unDA, Startling Stories, bimonthly, , , 1954-55, 1; spr; sum; fall/54, win; spr; sum; fall/55, 31-2, 33-3, B, beginning Spr 55 combined w "thrilling wonder stories" & "fantastic story magazine"
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , 1951, spr; 8, , 1-1, 1-2, B, Tales of the Frightened
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , no dates, , , 1, 6, B, Tales of Tomorrow
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , no dates, , , 7 11, , U, Tales of Tomorrow
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , 1937-8, , , 1, 5, B, Tales of Wonder
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , 1939, , , 6, 9, B, Tales of Wonder
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , 1940-2, , , 10, 16, B, Tales of Wonder
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , , , , 1, 10, B, T.A.P.A. (fanzine?) (Technology Amateur Press Association) Not regular magazine
http://static.free-dissociation.com/magventory/mag-021.jpg, mkr, mgentile555, 8/27/2007, JSB, , , unDA, misc, , , , , , , , , U, O'Leary's War Birds* Reprint 1974
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1953-4, Oct 53, Apr* 54, 1, 4, B, Science Stories (bi*monthly)| one volume, Binding Status: bound together
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1957, Spring, August, 1-1, 1-2, B, Space Science Fiction, Binding Status: bound together
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1929; 30, Fall, Fall, 1-1, 2-1, B, Science Wonder Quarterly, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1931, Winter, Fall, 2-2, 3-1, B, Wonder Stories Quarterly (new name), Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1932-3, Winter, Winter, 3-2, 4-2, B, Wonder Stories Quarterly (new name), Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1929, June, Oct, 1-1, 1-5, B, Science Wonder Stories, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1929-30, Nov, Jan, 1-6, 1-8, B, Science Wonder Stories, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1930, Feb, May, 1-9, 1-12, B, Science Wonder Stories, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1939, Apr; May, , , , U, The Scorpion (1967 reprint*) (Pulp Classics #12), Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1960, May, Sep, 1-1, 1-3, B, Shock, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1970-1, Winter, Summer, 9, 14, B, Space Adventures, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1952-3, May, Feb, 1-1, 1-4, B, Space Science Ficiton, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 1953, Mar, Sep, 1-5, 2-2, B, Space Science Ficiton, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 52-53, 10/52, 6/53, 1-1, 2-2, B, Space Stories (bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 53-55, 12/53, 2; 4; 6/54, 1-1, 2-1, B, Spaceway, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , , 12/54, 2; 4; 6/55, 2-2, 3-2, , , Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 69-70, 1/69 6/69, 10/69 5-6/70*, 4-1, 5-1, B, Spaceway Science Fiction (same mag?), Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 66-67, Sum 67, fall 67, 1-1, 1-6, B, Startling Mystery Stories, Binding Status: 
http://static.free-dissociation.com/magventory/mag-022.jpg, mkr, mgentile555, 8/27/07, JFC JSB, 2/7/5*, , UNDA, , , , , 69 71, Sum 69-Fall 70, 3/71*, 3-1(13*), 3-6(18), B, Startling Mystery Stories, Binding Status: 
http://static.free-dissociation.com/magventory/mag-023.jpg, mkr, mgentile555, 6/21/07, CAK KKB, , , unDA, misc, , Magazines we didn't have previously processed in from MagDex., put in Damnation Alley; not unDA, , , , 1-4, , U, "Dark Regions" (annual)
http://static.free-dissociation.com/magventory/mag-023.jpg, mkr, mgentile555, 6/21/07, CAK KKB, , , unDA, misc, , Magazines we didn't have previously processed in from MagDex., , 1986, winter/1986, , 1-5, , U, "Last Wave"
http://static.free-dissociation.com/magventory/mag-023.jpg, mkr, mgentile555, 6/21/07, CAK KKB, , , unDA, misc, , Magazines we didn't have previously processed in from MagDex., , 1985, winter/1985, , 11, , U, "The Leading Edge"
http://static.free-dissociation.com/magventory/mag-023.jpg, mkr, mgentile555, 6/21/07, CAK KKB, , , unDA, misc, , Magazines we didn't have previously processed in from MagDex., , , , , 29, , U, "Pandora"
http://static.free-dissociation.com/magventory/mag-023.jpg, mkr, mgentile555, 6/21/07, CAK KKB, , , unDA, misc, , Magazines we didn't have previously processed in from MagDex., , , winter/1980, , 3-4, , U, "Just Pulp"
http://static.free-dissociation.com/magventory/mag-023.jpg, mkr, mgentile555, 6/21/07, CAK KKB, , , unDA, misc, , Magazines we didn't have previously processed in from MagDex., , , spring/1980, , 4-1, , U, "Just Pulp"
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , , , 1-1, , U, "Realms of Fantasy" (Bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1994, 12/94, , 1-2, , U, "Realms of Fantasy" (Bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1995, 10/95, , 2-1, , U, "Realms of Fantasy" (Bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1996, 2/96, 8/96, 2-3, 2-6, U, "Realms of Fantasy" (Bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1997, 12/97, , 4-2, , U, "Realms of Fantasy" (Bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1998, 4/98, , 4-4, , U, "Realms of Fantasy" (Bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1998, 8/98, , 4-6, , U, "Realms of Fantasy" (Bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1953, 4/53 7/53, 9/53, 1-1, 1-3, B, "Rocket Stories", Binding Status: two mags
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1958, 1/58, , 1-1, , --, "Star Science Fiction", Binding Status: two mags
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1981, 4, 12, 1-1, 1-9, U, "Rod Serling's The Twilight Zone Magazine" (monthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1982, 1, 11, 1-10, 2-3*, U, "Rod Serling's The Twilight Zone Magazine" (monthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1982, 12, , 2-10, , U, bimonthly "Rod Serling's The Twilight Zone Magazine" (monthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1983, 2, 12, 2-11, 3-5, U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1984, 2, 12, 3-6, 4-5, U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1985, 2, 12, 4-6, 5-5, U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1986, 2, 12, 5-6, 6-5, U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1987, 2, 12, 6-6, 7-5, U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1988, 2, 8, 7-6, 8-3, U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1988, 12, , 8-5, , U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1989, 2, , 8-6, , U, "Rod Serling's The Twilight Zone Magazine" (monthly)^, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1956-7, 10/56, 12/57, 1-1, 2-2, B, "Satellite Science Fiction" (bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1958, 2, 12, 2-3, 3-2, B, "Satellite Science Fiction" (bimonthly), Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1959, 2, 5, 3-3, 3-6, B, "Satellite Science Fiction" (bimonthly) monthly, Binding Status: 
http://static.free-dissociation.com/magventory/mag-024.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1957-8, 3/57 5/57, 7/57 10/57 3/58, 1-1, 1-5, B, "Saturn", Binding Status: 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , 1-2, 50-53, summer/50; winter/50-51; winter/51-52; spring/52; autumn/52; spring/53, , 1, 6, B, V-I #s: 1-1 to 1-3 and 2-4 to 2-6 etc. (continues)
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1954, , , 7, 11, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1955, , , 12, 17, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1956, , , 18, 20, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1957, , , 21, 26, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1958, , , 27, 32, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1959, , , 33, 38, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1960, , , 39, 44*, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1961, , , 45, 50, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1962, , , 51, 56, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1963, , , 57, 62, , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1965, 1-2; 3; 4; 5; 6; 7, 69, 74, , , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 1965 - 1966, 8; 9; 10; 11; 12; 1; 2, 75, 81, , , 
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 70-71, yearbook/70; fall/70; winter/71; spring/71, , , , , "Science Fantasy"  |?[Science Fantasy] might be a different magazine -- two mag one volume
http://static.free-dissociation.com/magventory/mag-025.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, Science Fantasy, , , , 67-68, 11/67, 6/68, 1-1, 1-2, , "International Science Fiction"      |includes a story translated from esperanto!
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , 3/39; 6/39; 8/30; 10/39*; 12/39; 3/40, , 1-1, 1-6, B, "Science Fiction"
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , 6/40 10*/40 1/41 3/41 6/41 9/41, , 2-1, 2-6, B, "Science Fiction"
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1967-68, sum 67, fall 68, 1, 6, B, "Science Fiction Classics"
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 69; 70; 71, win 69; fall 69; win 70; spr-fall71, , 7-8; 12-15, , B, "Science Fiction Adventure Classics" (title change)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1972, 1, 11, 16-19, ?; ?, B, (bimonthly)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1973, 1, 11, , , B, 
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1974, 1, 11, , , B, 
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 52-53, 11/52, 7/53, 1-1, 1-5, B, "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 53-54, 9; 12; 2; 5, , 1-6, 2-3, B, "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 56-57, 12; 2; 4; 6; 8; 9, , 1-1, 1-6, B, (may or may not be same mag) "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 57-58, 10; 12; 1; 3; 4; 6, , 2-1, 2-6, B, "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)^
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1959, , , 2-7, 2-12, B, (British version) "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)^
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1960, , , 3-13, 3-17, B, "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)^^
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1961, , , 3-18, 4-23, B, "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)^
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1962, , , 4-24, 5-29, B, "Science Fiction Adventures" (bimonthly) (feb issue instead of Jan issue)^
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 67-71, , , 1, 5, B, "Science Fiction Yearbook"
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , 11/92, , 1-1, , U, "Science Fiction Age" (bimonthly)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , 7/93, , 1-5, , U, "Science Fiction Age" (bimonthly)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , 3/94, 11/94, 2-3, 3-1, U, "Science Fiction Age" (bimonthly)
http://static.free-dissociation.com/magventory/mag-026.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , 1/95, , 3-2, , U, "Science Fiction Age" (bimonthly)
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 1953, 3; 4; 5; 6; 9; 10; 12, , 1-1, 1-7, B, "Science Fiction Plus"
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , summer/40; winter/41; spring/41; summer/41; winter/41-42, , 1, 5, B, "Science Fiction Quarterly"
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , , spring/42*, spring/43, 6, 10, B, "Science Fiction Quarterly"
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 51-52, 5/51, 11/52, 1-1, 2-1, B, "Science Fiction Quarterly" (new mag?)
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 53-54, 2/53, 11/54, 2-2, 3-3, B, "Science Fiction Quarterly" (new mag?)
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 55-56, 2/55, 11/56, 3-4, 4-5, B, "Science Fiction Quarterly" (new mag?)
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 57-58, 2/57, 2/58, 4-6, 5-4, B, "Science Fiction Quarterly" (new mag?)
http://static.free-dissociation.com/magventory/mag-027.jpg, mkr, mgentile555, 6/21/07, JSB + KKB, , , unDA, misc., , , , 53-55, ?? 1/55, 11/55, ?; ?; 5-4, -6-3, B, "Science Fiction Stories" (first 2 issues **** then bimonthly)
