File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 16, 1935, Oct, Oct, 2, 2, U, "every 3rd wednesday of each month", Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 20, 1937-38, Sept, Feb, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 21, 1938, March, Aug, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 22, 1938-9, Sept, Feb, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 23, 1939, March, Aug, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 24, 1939-40, Sept, Feb, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 25, 1940, March, Aug, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 26, 1940-41, Sept, Feb, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 28, 1941, Sept, Dec, 1, 4, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 28, 1942, Jan, Feb, 5, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 29, 1942, March, Aug, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 31, 1943, March, Apr, 1, 2, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 31, 1943, May, Aug, 3, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 32, 1943, Sept, Oct, 1, 2, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 30, 1942-3, Sept, Feb, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 32, 1943-4, Nov, Feb, 3, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 33, 1944, March, Aug, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 35, 1945, March, Aug, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 34, 1944-5, Sept, Feb, 1, 6, B, some issues bound upside-down, Contained in which binding: 
